"MEDV","CRIM","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","LANDMARK"
428,7.83932,18.1,"no",0.655,6.209,65.4,2.9634,24,666,20.2,"No Landmark"
382,4.42228,18.1,"no",0.584,6.003,94.5,2.5403,24,666,20.2,"No Landmark"
328,4.81213,18.1,"no",0.713,6.701,90,2.5975,24,666,20.2,"No Landmark"
478,0.04462,4.86,"no",0.426,6.619,70.4,5.4007,4,281,19,"No Landmark"
438,3.69695,18.1,"no",0.718,4.963,91.4,1.7523,24,666,20.2,"No Landmark"
298,6.28807,18.1,"no",0.74,6.341,96.4,2.072,24,666,20.2,"No Landmark"
168,13.6781,18.1,"no",0.74,5.935,87.9,1.8206,24,666,20.2,"No Landmark"
396,0.24522,9.9,"no",0.544,5.782,71.7,4.0317,4,304,18.4,"No Landmark"
402,0.01965,1.76,"no",0.385,6.23,31.5,9.0892,1,241,18.2,"No Landmark"
388,0.04379,3.37,"no",0.398,5.787,31.1,6.6115,4,337,16.1,"No Landmark"
292,10.233,18.1,"no",0.614,6.185,96.7,2.1705,24,666,20.2,"No Landmark"
740,0.09068,3.44,"no",0.437,6.951,21.5,6.4798,5,398,15.2,"Park"
582,0.07978,6.41,"no",0.447,6.482,32.1,4.1403,4,254,17.6,"Shopping Mall"
368,5.66637,18.1,"no",0.74,6.219,100,2.0048,24,666,20.2,"No Landmark"
422,0.29916,6.96,"no",0.464,5.856,42.1,4.429,3,223,18.6,"No Landmark"
100,67.9208,18.1,"no",0.693,5.683,100,1.4254,24,666,20.2,"No Landmark"
346,0.15038,25.65,"no",0.581,5.856,97,1.9444,2,188,19.1,"No Landmark"
758,0.09103,2.46,"no",0.488,7.155,92.2,2.7006,3,193,17.8,"Park"
532,0.12744,6.91,"no",0.448,6.77,2.9,5.7209,3,233,17.9,"Shopping Mall"
486,0.537,6.2,"no",0.504,5.981,68.1,3.6715,8,307,17.4,"No Landmark"
416,0.08707,12.83,"no",0.437,6.14,45.8,4.0905,5,398,18.7,"No Landmark"
486,0.33983,5.86,"no",0.431,6.108,34.9,8.0555,7,330,19.1,"No Landmark"
386,0.17142,6.91,"no",0.448,5.682,33.8,5.1004,3,233,17.9,"No Landmark"
698,0.03359,2.95,"no",0.428,7.024,15.8,5.4011,3,252,18.3,"Park"
606,0.04666,1.52,"no",0.404,7.107,36.6,7.309,2,329,12.6,"Shopping Mall"
528,0.08308,2.46,"no",0.488,5.604,89.8,2.9879,3,193,17.8,"Shopping Mall"
434,0.08199,13.92,"no",0.437,6.009,42.3,5.5027,4,289,16,"No Landmark"
796,0.06588,2.46,"no",0.488,7.765,83.3,2.741,3,193,17.8,"Park"
400,6.80117,18.1,"no",0.713,6.081,84.4,2.7175,24,666,20.2,"No Landmark"
462,0.13914,4.05,"no",0.51,5.572,88.5,2.5961,5,296,16.6,"No Landmark"
440,0.05789,6.07,"no",0.409,5.878,21.4,6.498,4,345,18.9,"No Landmark"
378,0.11747,7.87,"no",0.524,6.009,82.9,6.2267,5,311,15.2,"No Landmark"
374,0.06151,5.19,"no",0.515,5.968,58.5,4.8122,5,224,20.2,"No Landmark"
372,0.07244,1.69,"no",0.411,5.884,18.5,10.7103,4,411,18.3,"No Landmark"
480,0.00632,2.31,"no",0.538,6.575,65.2,4.09,1,296,15.3,"No Landmark"
240,15.0234,18.1,"no",0.614,5.304,97.3,2.1007,24,666,20.2,"No Landmark"
1000,6.53876,18.1,"yes",0.631,7.016,97.5,1.2024,24,666,20.2,"Museum"
1000,0.01501,1.21,"yes",0.401,7.923,24.8,5.885,1,198,13.6,"Museum"
460,0.30347,7.38,"no",0.493,6.312,28.9,5.4159,5,287,19.6,"No Landmark"
620,0.82526,3.97,"no",0.647,7.327,94.5,2.0788,5,264,13,"Park"
500,0.34109,7.38,"no",0.493,6.415,40.1,4.7211,5,287,19.6,"No Landmark"
260,7.52601,18.1,"no",0.713,6.417,98.3,2.185,24,666,20.2,"No Landmark"
192,14.4208,18.1,"no",0.74,6.461,93.3,2.0026,24,666,20.2,"No Landmark"
440,0.10959,11.93,"no",0.573,6.794,89.3,2.3889,1,273,21,"No Landmark"
654,0.01301,1.52,"no",0.442,7.241,49.3,7.0379,1,284,15.5,"Park"
392,0.10328,5.13,"no",0.453,5.927,47.2,6.932,8,284,19.7,"No Landmark"
644,0.00906,2.97,"no",0.4,7.088,20.8,7.3073,1,285,15.3,"Park"
460,0.59005,21.89,"no",0.624,6.372,97.9,2.3274,4,437,21.2,"No Landmark"
474,0.08244,4.93,"no",0.428,6.481,18.5,6.1899,6,300,16.6,"No Landmark"
702,0.21038,3.33,"no",0.4429,6.812,32.2,4.1007,5,216,14.9,"Park"
374,0.14932,5.13,"no",0.453,5.741,66.2,7.2254,8,284,19.7,"No Landmark"
126,9.91655,18.1,"no",0.693,5.852,77.8,1.5004,24,666,20.2,"No Landmark"
218,15.8744,18.1,"no",0.671,6.545,99.1,1.5192,24,666,20.2,"No Landmark"
278,0.84054,8.14,"no",0.538,5.599,85.7,4.4546,4,307,21,"No Landmark"
610,0.06911,3.44,"no",0.437,6.739,30.8,6.4798,5,398,15.2,"Park"
480,0.33045,6.2,"no",0.507,6.086,61.5,3.6519,8,307,17.4,"No Landmark"
210,24.3938,18.1,"no",0.7,4.652,100,1.4672,24,666,20.2,"No Landmark"
356,2.33099,19.58,"no",0.871,5.186,93.8,1.5296,5,403,14.7,"No Landmark"
462,1.05393,8.14,"no",0.538,5.935,29.3,4.4986,4,307,21,"No Landmark"
602,0.65665,3.97,"no",0.647,6.842,100,2.0107,5,264,13,"Shopping Mall"
524,0.19073,5.86,"no",0.431,6.718,17.5,7.8265,7,330,19.1,"Shopping Mall"
452,0.06724,3.24,"no",0.46,6.333,17.2,5.2146,4,430,16.9,"No Landmark"
376,0.12329,10.01,"no",0.547,5.913,92.9,2.3534,6,432,17.8,"No Landmark"
414,0.09065,6.96,"yes",0.464,5.92,61.5,3.9175,3,223,18.6,"No Landmark"
496,0.03659,4.86,"no",0.426,6.302,32.2,5.4007,4,281,19,"No Landmark"
400,0.10153,12.83,"no",0.437,6.279,74.5,4.0522,5,398,18.7,"No Landmark"
602,0.01709,2.02,"no",0.41,6.728,36.1,12.1265,5,187,17,"Shopping Mall"
1000,0.61154,3.97,"no",0.647,8.704,86.9,1.801,5,264,13,"Museum"
488,0.22969,10.59,"no",0.489,6.326,52.5,4.3549,4,277,18.6,"No Landmark"
266,0.2498,21.89,"no",0.624,5.857,98.2,1.6686,4,437,21.2,"No Landmark"
502,0.52058,6.2,"yes",0.507,6.631,76.5,4.148,8,307,17.4,"Shopping Mall"
394,0.2896,9.69,"no",0.585,5.39,72.9,2.7986,6,391,19.2,"No Landmark"
574,0.02985,2.18,"no",0.458,6.43,58.7,6.0622,3,222,18.7,"Shopping Mall"
1000,9.2323,18.1,"no",0.631,6.216,100,1.1691,24,666,20.2,"Museum"
268,7.05042,18.1,"no",0.614,6.103,85.1,2.0218,24,666,20.2,"No Landmark"
664,0.10469,6.41,"yes",0.447,7.267,49,4.7872,4,254,17.6,"Park"
342,0.05023,6.06,"no",0.4379,5.706,28.4,6.6407,1,304,16.9,"No Landmark"
500,0.0536,5.64,"no",0.439,6.511,21.1,6.8147,4,243,16.8,"Shopping Mall"
452,0.04684,3.41,"no",0.489,6.417,66.1,3.0923,2,270,17.8,"No Landmark"
458,0.08829,7.87,"no",0.524,6.012,66.6,5.5605,5,311,15.2,"No Landmark"
334,11.0874,18.1,"no",0.718,6.411,100,1.8589,24,666,20.2,"No Landmark"
170,7.67202,18.1,"no",0.693,5.747,98.9,1.6334,24,666,20.2,"No Landmark"
350,0.17783,9.69,"no",0.585,5.569,73.5,2.3999,6,391,19.2,"No Landmark"
488,0.1146,6.96,"no",0.464,6.538,58.7,3.9175,3,223,18.6,"No Landmark"
350,0.03113,4.39,"no",0.442,6.014,48.5,8.0136,3,352,18.8,"No Landmark"
256,9.39063,18.1,"no",0.74,5.627,93.9,1.8172,24,666,20.2,"No Landmark"
394,0.08873,5.64,"no",0.439,5.963,45.7,6.8147,4,243,16.8,"No Landmark"
432,0.02731,7.07,"no",0.469,6.421,78.9,4.9671,2,242,17.8,"No Landmark"
434,0.15876,10.81,"no",0.413,5.961,17.5,5.2873,4,305,19.2,"No Landmark"
216,12.8023,18.1,"no",0.74,5.854,96.6,1.8956,24,666,20.2,"No Landmark"
288,1.62864,21.89,"no",0.624,5.019,100,1.4394,4,437,21.2,"No Landmark"
454,2.24236,19.58,"no",0.605,5.854,91.8,2.422,5,403,14.7,"No Landmark"
276,11.1081,18.1,"no",0.668,4.906,100,1.1742,24,666,20.2,"No Landmark"
402,13.0751,18.1,"no",0.58,5.713,56.7,2.8237,24,666,20.2,"No Landmark"
340,1.41385,19.58,"yes",0.871,6.129,96,1.7494,5,403,14.7,"No Landmark"
292,2.36862,19.58,"no",0.871,4.926,95.7,1.4608,5,403,14.7,"No Landmark"
408,0.13117,8.56,"no",0.52,6.127,85.2,2.1224,5,384,20.9,"No Landmark"
534,0.35809,6.2,"yes",0.507,6.951,88.5,2.8617,8,307,17.4,"Shopping Mall"
496,0.04417,2.24,"no",0.4,6.871,47.4,7.8278,5,358,14.8,"No Landmark"
370,0.28392,7.38,"no",0.493,5.708,74.3,4.7211,5,287,19.6,"No Landmark"
404,5.82115,18.1,"no",0.713,6.513,89.9,2.8016,24,666,20.2,"No Landmark"
476,1.80028,19.58,"no",0.605,5.877,79.2,2.4259,5,403,14.7,"No Landmark"
424,0.05646,12.83,"no",0.437,6.232,53.7,5.0141,5,398,18.7,"No Landmark"
434,0.09378,7.87,"no",0.524,5.889,39,5.4509,5,311,15.2,"No Landmark"
386,0.06617,3.24,"no",0.46,5.868,25.8,5.2146,4,430,16.9,"No Landmark"
662,0.1,6.09,"no",0.433,6.982,17.7,5.4917,7,329,16.1,"Park"
440,0.03932,3.41,"no",0.489,6.405,73.9,3.0921,2,270,17.8,"No Landmark"
630,0.44178,6.2,"no",0.504,6.552,21.4,3.3751,8,307,17.4,"Park"
446,2.44953,19.58,"no",0.605,6.402,95.2,2.2625,5,403,14.7,"No Landmark"
254,13.3598,18.1,"no",0.693,5.887,94.7,1.7821,24,666,20.2,"No Landmark"
390,0.13262,8.56,"no",0.52,5.851,96.7,2.1069,5,384,20.9,"No Landmark"
474,0.28955,10.59,"no",0.489,5.412,9.8,3.5875,4,277,18.6,"No Landmark"
356,8.98296,18.1,"yes",0.77,6.212,97.4,2.1222,24,666,20.2,"No Landmark"
406,0.3494,9.9,"no",0.544,5.972,76.7,3.1025,4,304,18.4,"No Landmark"
406,0.08387,12.83,"no",0.437,5.874,36.6,4.5026,5,398,18.7,"No Landmark"
392,4.03841,18.1,"no",0.532,6.229,90.7,3.0993,24,666,20.2,"No Landmark"
280,0.2909,21.89,"no",0.624,6.174,93.6,1.6119,4,437,21.2,"No Landmark"
290,1.35472,8.14,"no",0.538,6.072,100,4.175,4,307,21,"No Landmark"
648,0.05644,6.41,"yes",0.447,6.758,32.9,4.0776,4,254,17.6,"Park"
630,0.51183,6.2,"no",0.507,7.358,71.6,4.148,8,307,17.4,"Park"
476,0.3692,9.9,"no",0.544,6.567,87.3,3.6023,4,304,18.4,"No Landmark"
144,14.2362,18.1,"no",0.693,6.343,100,1.5741,24,666,20.2,"No Landmark"
406,0.14103,13.92,"no",0.437,5.79,58,6.32,4,289,16,"No Landmark"
402,0.11132,27.74,"no",0.609,5.983,83.5,2.1099,4,711,20.1,"No Landmark"
386,0.14476,10.01,"no",0.547,5.731,65.2,2.7592,6,432,17.8,"No Landmark"
462,0.17899,9.69,"no",0.585,5.67,28.8,2.7986,6,391,19.2,"No Landmark"
464,5.29305,18.1,"no",0.7,6.051,82.5,2.1678,24,666,20.2,"No Landmark"
434,0.40771,6.2,"yes",0.507,6.164,91.3,3.048,8,307,17.4,"No Landmark"
380,0.05497,5.19,"no",0.515,5.985,45.4,4.8122,5,224,20.2,"No Landmark"
424,0.13158,10.01,"no",0.547,6.176,72.5,2.7301,6,432,17.8,"No Landmark"
242,9.59571,18.1,"no",0.693,6.404,100,1.639,24,666,20.2,"No Landmark"
262,1.15172,8.14,"no",0.538,5.701,95,3.7872,4,307,21,"No Landmark"
392,0.85204,8.14,"no",0.538,5.965,89.2,4.0123,4,307,21,"No Landmark"
970,0.0351,2.68,"no",0.4161,7.853,33.2,5.118,4,224,14.7,"Stadium"
238,20.7162,18.1,"no",0.659,4.138,100,1.1781,24,666,20.2,"No Landmark"
720,0.66351,3.97,"no",0.647,7.333,100,1.8946,5,264,13,"Park"
204,14.3337,18.1,"no",0.7,4.88,100,1.5895,24,666,20.2,"No Landmark"
826,1.22358,19.58,"no",0.605,6.943,97.4,1.8773,5,403,14.7,"Park"
478,0.08265,13.92,"no",0.437,6.127,18.4,5.5027,4,289,16,"No Landmark"
402,0.10612,4.93,"no",0.428,6.095,65.1,6.3361,6,300,16.6,"No Landmark"
140,45.7461,18.1,"no",0.693,4.519,100,1.6582,24,666,20.2,"No Landmark"
614,0.7857,3.97,"no",0.647,7.014,84.6,2.1329,5,264,13,"Park"
400,0.09744,5.96,"no",0.499,5.841,61.4,3.3779,5,279,19.2,"No Landmark"
658,0.01778,1.47,"no",0.403,7.135,13.9,7.6534,3,402,17,"Park"
676,0.54011,3.97,"no",0.647,7.203,81.8,2.1121,5,264,13,"Park"
390,0.03427,5.19,"no",0.515,5.869,46.3,5.2311,5,224,20.2,"No Landmark"
464,0.03871,5.32,"no",0.405,6.209,31.3,7.3172,6,293,16.6,"No Landmark"
358,18.811,18.1,"no",0.597,4.628,100,1.5539,24,666,20.2,"No Landmark"
580,0.05561,2.24,"no",0.4,7.041,10,7.8278,5,358,14.8,"Shopping Mall"
632,0.41238,6.2,"no",0.504,7.163,79.9,3.2157,8,307,17.4,"Park"
312,0.97617,21.89,"no",0.624,5.757,98.4,2.346,4,437,21.2,"No Landmark"
704,0.22188,6.96,"yes",0.464,7.691,51.8,4.3665,3,223,18.6,"Park"
500,2.924,19.58,"no",0.605,6.101,93,2.2834,5,403,14.7,"Shopping Mall"
282,4.75237,18.1,"no",0.713,6.525,86.5,2.4358,24,666,20.2,"No Landmark"
1000,0.52693,6.2,"no",0.504,8.725,83,2.8944,8,307,17.4,"Museum"
